iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","module3BTasks","Auth","POST","https://simple-books-api.glitch.me/api-clients","Created","201","1195","82","Status code is 201",,,"1","1","0","0"
"1","module3BTasks","Get All Books","GET","https://simple-books-api.glitch.me/books","OK","200","263","417","Status code is 200, Book called untamed exists",,,"2","2","0","0"
"1","module3BTasks","Get Books - valid book type","GET","https://simple-books-api.glitch.me/books?type=non-fiction","OK","200","222","135","Status code is 200",,,"1","1","0","0"
"1","module3BTasks","Get Books - invalid book type","GET","https://simple-books-api.glitch.me/books?type=fictionless","Bad Request","400","411","91","Status code is 400",,,"1","1","0","0"
"1","module3BTasks","Place a book order - using valid book ID","POST","https://simple-books-api.glitch.me/orders","Created","201","509","50","Status code is 201",,,"1","1","0","0"
"1","module3BTasks","Place a book order - using invalid book ID","POST","https://simple-books-api.glitch.me/orders","Bad Request","400","362","38","Status code is 400",,,"1","1","0","0"
"1","module3BTasks","Place a book order - using no book ID","POST","https://simple-books-api.glitch.me/orders","Unprocessable Entity","422","299","20","Status code is 422",,,"1","1","0","0"
"1","module3BTasks","Get all orders","GET","https://simple-books-api.glitch.me/orders","OK","200","235","184","Status code is 200",,,"1","1","0","0"
"1","module3BTasks","Get an order - using a valid order number","GET","https://simple-books-api.glitch.me/orders/lC_hoXjlPIhlTAT4LtQhF","OK","200","440","182","Status code is 200",,,"1","1","0","0"
"1","module3BTasks","Get an order - using an invalid order number","GET","https://simple-books-api.glitch.me/orders/5","Not Found","404","229","31","Status code is 404",,,"1","1","0","0"
"1","module3BTasks","Get an order - using no order ID","GET","https://simple-books-api.glitch.me/orders/","OK","200","230","184",,"Status code is 404",,"1","0","1","0"
"1","module3BTasks","Delete an order - using valid order ID","DELETE","https://simple-books-api.glitch.me/orders/lC_hoXjlPIhlTAT4LtQhF","No Content","204","410","0","Status code is 204",,,"1","1","0","0"
"1","module3BTasks","Delete an order - using no order ID","DELETE","https://simple-books-api.glitch.me/orders/","Not Found","404","261","149","Status code is 404",,,"1","1","0","0"
"1","module3BTasks","Delete an order - using invalid order ID","DELETE","https://simple-books-api.glitch.me/orders/","Not Found","404","221","149","Status code is 404",,,"1","1","0","0"
